#AC_NUM,ACID,TRACK_CNT,ST_TIME,END_TIME,ORIG_TRACK_CNT,ORIG_ST_TIME,ORIG_END_TIME,TRACK_QSTAT,MAX_X,MIN_X,MAX_Y,MIN_Y,MAX_Z,MIN_Z,AC_EQUIP,AC_TYPE,DEST_FIX,FLIGHT_TYPE,ORIGIN_FIX,PRM_ID,GAP_VALUE,MAX_X_SMO,MIN_X_SMO,MAX_Y_SMO,MIN_Y_SMO,MAX_Z_SMO,MIN_Z_SMO,TOD_TIME,TOC_TIME,TOC_ALT,END_CENTER,START_CENTER,END_CENTER_TIME,START_CENTER_TIME
188,AAL437_329,323,55840,59060,265,55836,59064,0,287.5,217.233,532.5,183.1,38000,1400,Q,B738,MIA,DEP,DCA,-1,0,287.389,217.53,532.202,184.107,38000,1620,-1,57310,38000,n/a,ZDC,58460,56210
189,AAL452_878,182,46470,48280,150,46464,48288,0,209.933,86,621.3,401.702,37000,37000,Q,B752,BOS,OVR,MIA,-1,0,209.435,86.13,620.425,402.721,37000,37000,-1,-1,99900,n/a,ZTL,47680,46480
190,AAL454_811,175,72930,74670,146,72924,74676,0,187.199,54.5,467.6,349.25,29600,2000,Q,MD82,RDU,ARR,ORD,-1,0,186.942,55.392,467.173,349.608,29446,2162,73210,-1,99900,n/a,ZID,74070,73050
191,AAL477_975,219,56570,58750,182,56568,58752,0,242.5,78.267,524.8,347.35,30000,3366,Q,MD82,DFW,DEP,IAD,-1,0,242.463,79.284,524.073,348.226,30000,3600,-1,57630,30000,n/a,ZDC,58150,56730
192,AAL496_378,132,45450,46760,109,45444,46764,0,245.267,115,575,522.2,32800,10866,Q,B738,DCA,ARR,ORD,-1,0,244.649,115.791,574.151,522.2,32670,10920,45820,-1,99900,n/a,ZOB,46160,45630
193,AAL503_180,415,71620,75760,346,71616,75768,0,328.5,222.633,616.533,155.833,38000,37000,Q,B738,MIA,UNK,CYYZ,-1,0,328.256,222.894,615.67,156.692,38000,37000,-1,72750,38000,n/a,ZNY,75160,71930
194,AAL518_094,351,44920,48420,290,44916,48420,0,417.7,154.933,597.1,212.666,35000,10600,Q,B763,JFK,OVR,MIA,-1,0,417.358,155.591,596.342,213.784,35000,10750,-1,-1,99900,n/a,ZJX,47820,45000
195,AAL530_971,363,77330,80950,296,77328,80952,0,418.333,127.8,599.167,238.233,41000,8966,Q,B772,JFK,OVR,MIA,-1,0,418.035,128.136,598.493,238.866,41000,9237,-1,-1,99900,n/a,ZJX,80350,77380
196,AAL532_092,173,2500,4220,145,2492,4220,0,316.633,252.667,514.6,355.267,34000,7200,Q,B738,BWI,UNK,TJSJ,-1,0,315.97,252.94,514.167,355.867,34000,7475,-1,-1,99900,n/a,ZDC,3620,2500
197,AAL535_146,362,79650,83260,303,79644,83268,0,410.2,125.85,613,234.55,37000,35000,Q,B752,BOS,OVR,MIA,-1,0,409.514,126.142,612.273,235.299,37000,35176,83160,-1,99900,n/a,ZJX,82660,79760
198,AAL545_184,273,62820,65540,226,62820,65544,0,299,102.233,561.6,315.433,38000,24300,Q,B738,MIA,OVR,PHL,-1,0,297.95,102.619,561.167,316.19,38000,24600,-1,63420,36000,n/a,ZNY,64940,62840
199,AAL547_187,196,49950,51900,162,49944,51900,0,274.75,68.6,544,504.7,37000,8450,Q,B738,DFW,DEP,BWI,-1,0,274.174,69.708,543.704,504.9,37000,8746,-1,51030,36000,n/a,ZDC,51300,50100
200,AAL555_681,188,40230,42100,158,40224,42108,0,251.901,55.7,436.8,408.633,32000,2250,Q,MD82,DFW,DEP,RIC,-1,0,251.399,56.619,436.706,408.999,32000,2511,-1,41730,32000,n/a,ZDC,41500,40230
201,AAL56_337,255,900,3440,213,896,3440,0,428.5,234.633,503.9,225.633,35000,33000,Q,B772,EGLL,UNK,MIA,-1,0,427.533,234.903,502.858,226.773,35000,33031,-1,1040,35000,n/a,ZDC,2840,900
202,AAL577_764,320,56870,60060,263,56868,60060,0,349,105.3,597.967,301.2,41000,28083,Q,B772,MIA,OVR,JFK,-1,0,348.246,105.767,597.827,302.692,41000,28369,-1,57410,40000,n/a,ZNY,59460,57200
203,AAL592_910,397,80520,84480,323,80520,84480,0,403,123.6,619.9,228.7,39000,5100,Q,B752,LGA,OVR,MIA,-1,0,402.55,123.9,619.45,229.625,39000,5267,82920,-1,99900,n/a,ZJX,83880,80670
204,AAL609_286,186,77750,79600,155,77748,79608,0,253.184,57.366,571.434,526.8,36000,11066,Q,B738,ORD,DEP,DCA,-1,0,252.437,58.042,571.001,526.978,36000,11389,-1,78820,36000,n/a,ZDC,79000,77850
205,AAL611_325,278,74750,77520,231,74748,77520,0,316.483,93.6,576.25,352.3,36000,34000,Q,B752,MROC,UNK,JFK,-1,0,315.963,93.8,575.906,353.208,36000,34000,-1,77420,36000,n/a,ZNY,76920,74760
206,AAL613_231,92,1360,2270,77,1352,2276,0,254.033,216.35,283.999,167.45,38000,38000,Q,B763,MIA,OVR,JFK,-1,0,253.512,216.654,283.127,168.411,38000,38000,-1,-1,99900,n/a,ZDC,1670,1360
207,AAL613_748,290,83490,86380,241,83484,86388,0,435.101,232.934,606.253,322,36000,10550,Q,B763,MIA,OVR,JFK,-1,0,434.85,233.818,605.497,322.519,36000,10837,-1,84200,34000,n/a,ZNY,86380,83500
208,AAL616_844,140,80850,82240,116,80844,82248,0,182.367,87.801,334.267,218.401,37000,7800,Q,B738,RDU,ARR,MIA,-1,0,181.923,88.28,333.99,219.175,37000,7845,81940,-1,99900,n/a,ZJX,81640,81320
209,AAL622_577,363,63440,67060,299,63432,67068,0,414.067,221.633,589.634,184.367,37000,11000,Q,B752,JFK,UNK,MROC,-1,0,413.749,221.87,589.15,185.202,37000,11000,-1,-1,99900,n/a,ZJX,66460,63480
210,AAL630_336,395,63680,67620,320,63672,67620,0,415,125.567,591.8,186.101,33000,11000,Q,MD82,JFK,OVR,MCO,-1,0,414.6,125.982,591.067,186.624,33000,11000,-1,-1,99900,n/a,ZJX,67000,64220
211,AAL646_304,384,5090,8920,317,5084,8924,0,217.967,178.9,618.367,171.5,35000,34733,Q,B738,CYYZ,UNK,MIA,-1,0,217.869,178.941,617.353,172.358,35000,34802,8880,-1,99900,n/a,ZJX,8320,5140
212,AAL648_029,89,55580,56460,74,55572,56460,0,445.4,395.1,281.9,185.635,38000,38000,Q,B752,JFK,UNK,TJSJ,-1,0,445.07,396.008,281.008,186.912,38000,38000,-1,-1,99900,n/a,n/a,0,0
213,AAL649_374,207,50990,53050,172,50988,53052,0,132.3,92.967,592.55,347.568,38083,38000,Q,B738,MIA,UNK,CYYZ,-1,0,132.096,93.238,591.404,348.921,38030,38000,-1,-1,99900,n/a,ZOB,52450,51020
214,AAL652_041,170,57030,58720,137,57024,58728,0,258,96.485,431.07,342.892,31650,2000,Q,MD82,RIC,ARR,DFW,-1,0,257.786,97.47,430.702,343.431,31478,2004,-1,-1,99900,n/a,ZTL,58120,57040
215,AAL656_123,185,73040,74880,154,73032,74880,0,250.3,29.367,526.2,457.6,33000,8000,Q,MD83,DCA,ARR,DFW,-1,0,249.542,30.337,526.175,457.737,33000,8000,-1,-1,99900,n/a,ZID,74280,73310
216,AAL672_619,406,1280,5330,323,1280,5336,0,425.399,207,635.299,164.3,37100,24400,Q,B752,BOS,OVR,MIA,-1,0,424.584,207.25,634.582,165.95,37050,24671,4940,-1,99900,n/a,ZJX,4730,1320
217,AAL677_335,195,62260,64200,163,62256,64200,0,306.037,101.8,392.24,328.7,32000,5766,Q,MD83,DFW,DEP,ORF,-1,0,305.609,102.775,391.685,329.025,32000,6233,-1,63400,32000,n/a,ZDC,63600,62320
218,AAL682_674,191,77790,79690,159,77784,79692,0,305.433,103.65,395.783,319.6,33000,3650,Q,MD83,ORF,ARR,DFW,-1,0,305.069,104.633,395.215,319.703,33000,3881,-1,-1,99900,n/a,ZTL,79090,77810
219,AAL690_526,144,8570,10000,120,8564,10004,0,217.767,185.633,346.934,192.6,31000,2566,Q,B738,RDU,ARR,MIA,-1,0,217.522,185.99,346.549,193.581,30932,2813,-1,-1,99900,n/a,ZJX,9390,8600
220,AAL692_254,424,60950,65180,353,60948,65184,0,380.767,209.133,630.8,178.783,39000,5666,Q,B752,EWR,OVR,MIA,-1,0,380.481,209.298,630.172,179.605,39000,5780,63570,61510,39000,n/a,ZJX,64580,60960
221,AAL695_764,225,74060,76300,183,74052,76308,0,294.667,53.333,591.467,501.733,32000,28100,Q,MD82,AUS,OVR,JFK,-1,0,293.659,54.087,591.066,501.844,32000,28272,-1,74190,30000,n/a,ZNY,75700,74070
222,AAL705_159,249,38660,41140,209,38652,41148,0,294.034,60.234,575.068,410.367,30000,30000,Q,MD83,DFW,OVR,LGA,-1,0,293.366,61.203,574.656,410.719,30000,30000,-1,-1,99900,n/a,ZNY,40540,38700
223,AAL707_276,217,42300,44460,180,42300,44460,0,293.3,67.5,587.8,511,32500,31500,Q,MD82,DFW,OVR,LGA,-1,0,292.325,68.558,587.567,511.258,32300,31608,-1,42370,32000,n/a,ZNY,43860,42380
224,AAL709_515,264,45710,48340,220,45708,48348,0,305.751,62.833,582.901,411.433,32000,32000,Q,MD82,DFW,OVR,LGA,-1,0,305.142,63.326,582.461,411.588,32000,32000,-1,-1,99900,n/a,ZNY,47740,45720
225,AAL713_403,262,50680,53290,217,50676,53292,0,303.566,68.183,581.233,413.183,34000,32000,Q,MD82,DFW,OVR,LGA,-1,0,302.718,69.119,580.716,413.57,34000,32000,-1,50980,34000,n/a,ZNY,52690,50690
226,AAL721_229,209,54830,56910,173,54828,56916,0,286.184,62.751,587.401,504.75,32000,32000,Q,MD82,DFW,OVR,LGA,-1,0,285.246,63.657,586.695,504.984,32000,32000,-1,-1,99900,n/a,ZDC,56310,54830
227,AAL731_627,209,57720,59800,175,57720,59808,0,273.4,55.433,586.6,502.1,34000,32000,Q,MD82,DFW,OVR,LGA,-1,0,272.792,56.188,586.108,502.256,34000,32000,-1,59540,34000,n/a,ZNY,59200,57740
228,AAL734_769,353,71610,75130,292,71604,75132,0,267.983,172.967,510.217,141.75,37000,3333,Q,B738,DCA,ARR,MIA,-1,0,267.903,173.285,509.821,142.899,37000,3460,-1,-1,99900,n/a,ZJX,74530,71730
229,AAL735_631,335,80570,83910,278,80568,83916,0,289.6,194.75,535.035,180.951,36000,1350,Q,B738,MIA,DEP,DCA,-1,0,289.516,194.877,534.652,182.016,36000,1630,-1,82240,36000,n/a,ZDC,83310,80660
230,AAL739_301,203,60480,62500,168,60480,62508,0,269.3,61.765,577.2,502.333,38000,36000,Q,B738,DFW,OVR,LGA,-1,0,268.5,62.591,576.592,502.467,38000,36000,-1,61380,38000,n/a,ZDC,61900,60480
231,AAL743_846,236,65220,67570,196,65220,67572,0,304.4,56.6,597.7,502.767,32000,32000,Q,MD82,DFW,OVR,LGA,-1,0,303.6,57.575,597.25,503.092,32000,32000,-1,-1,99900,n/a,ZNY,66970,65310
